pgs_id,reported_trait,category
PGS000338,Atrial fibrillation,Cardiovascular
PGS004929,Atrial fibrillation,Cardiovascular
PGS000016,Atrial fibrillation,Cardiovascular
PGS005313,Atrial fibrillation,Cardiovascular
PGS001339,Atrial fibrillation and flutter (time-to-event),Cardiovascular
PGS001263,Atrial flutter,Cardiovascular
PGS004239,Autoimmune Addison's disease,Metabolic & Endocrine
PGS000071,Bladder cancer,Cancer
PGS000782,Bladder cancer,Cancer
PGS000930,Blood clot (diagnosed by doctor),Cardiovascular
PGS004025,Breast cancer,Cancer
PGS004688,Breast cancer,Cancer
PGS004083,Breast cancer,Cancer
PGS000015,Breast cancer,Cancer
PGS000004,Breast cancer,Cancer
PGS001778,Breast cancer,Cancer
PGS000007,Breast cancer,Cancer
PGS000051,Breast cancer,Cancer
PGS004153,Breast cancer,Cancer
PGS000001,Breast cancer,Cancer
PGS004069,Breast cancer,Cancer
PGS003380,Breast cancer,Cancer
PGS004040,Breast cancer,Cancer
PGS001336,Breast cancer,Cancer
PGS000212,Breast cancer intrinsic-like subtype (luminal A-like),Cancer
PGS001250,Calculus of kidney and ureter (time-to-event),Metabolic & Endocrine
PGS000117,Cardiovascular disease,Cardiovascular
PGS001302,Cataract,Ophthalmology
PGS004930,Celiac disease,Metabolic & Endocrine
PGS001300,"Celiac disease or gluten sensitivity, diagnosed",Metabolic & Endocrine
PGS000073,Cervical cancer,Cancer
PGS000784,Cervical cancer,Cancer
PGS001299,Cervical cancer,Cancer
PGS002248,Childhood asthma,Immune & Autoimmune
PGS000942,Cholecystitis,Metabolic & Endocrine
PGS000943,Cholecystitis (time-to-event),Metabolic & Endocrine
PGS001174,Cholelithiasis (time-to-event),Metabolic & Endocrine
PGS000192,Cholesterol,Blood Panel
PGS000962,Chronic ischaemic heart disease (time-to-event),Cardiovascular
PGS002237,Chronic kidney disease (stage 3 or greater),Metabolic & Endocrine
PGS005090,Chronic kidney disease (stage 3 or higher),Metabolic & Endocrine
PGS000649,Chronic lymphocytic leukemia,Cancer
PGS000647,Chronic lymphocytic leukemia,Cancer
PGS001783,Chronic obstructive pulmonary disease,Respiratory
PGS001332,Chronic obstructive pulmonary disease,Respiratory
PGS001788,Chronic obstructive pulmonary disease,Respiratory
PGS001333,Chronic obstructive pulmonary disease (algorithmically-defined),Respiratory
PGS001272,Chronic renal failure (time-to-event),Metabolic & Endocrine
PGS004621,Cirrhosis,Metabolic & Endocrine
PGS001777,Cirrhosis (alcohol related),Metabolic & Endocrine
PGS000042,Coeliac disease,Metabolic & Endocrine
PGS000041,Coeliac disease,Metabolic & Endocrine
PGS000316,Coeliac disease,Metabolic & Endocrine
PGS000040,Coeliac disease,Metabolic & Endocrine
PGS003386,Colorectal cancer,Cancer
PGS004301,Colorectal cancer,Cancer
PGS004300,Colorectal cancer,Cancer
PGS000785,Colorectal cancer,Cancer
PGS001776,Colorectal cancer,Cancer
PGS000074,Colorectal cancer,Cancer
PGS003431,Colorectal cancer,Cancer
PGS003432,Colorectal cancer,Cancer
PGS003433,Colorectal cancer,Cancer
PGS003434,Colorectal cancer,Cancer
PGS003435,Colorectal cancer,Cancer
PGS000765,Colorectal cancer,Cancer
PGS004240,Colorectal cancer,Cancer
PGS004304,Colorectal cancer,Cancer
PGS003979,Colorectal cancer,Cancer
PGS003436,Colorectal cancer,Cancer
PGS003439,Colorectal cancer,Cancer
PGS004303,Colorectal cancer,Cancer
PGS004302,Colorectal cancer,Cancer
PGS000959,Connective tissue disorder,Immune & Autoimmune
PGS004305,Coronary artery disease,Cardiovascular
PGS004309,Coronary artery disease,Cardiovascular
PGS004308,Coronary artery disease,Cardiovascular
PGS004307,Coronary artery disease,Cardiovascular
PGS004306,Coronary artery disease,Cardiovascular
PGS000748,Coronary artery disease,Cardiovascular
PGS000337,Coronary artery disease,Cardiovascular
PGS005091,Coronary artery disease,Cardiovascular
PGS000296,Coronary artery disease,Cardiovascular
PGS005092,Coronary artery disease,Cardiovascular
PGS003866,Coronary artery disease,Cardiovascular
PGS003446,Coronary artery disease,Cardiovascular
PGS000116,Coronary artery disease,Cardiovascular
PGS004196,Coronary artery disease,Cardiovascular
PGS004197,Coronary artery disease,Cardiovascular
PGS004198,Coronary artery disease,Cardiovascular
PGS004199,Coronary artery disease,Cardiovascular
PGS005293,Coronary artery disease,Cardiovascular
PGS005294,Coronary artery disease,Cardiovascular
PGS005295,Coronary artery disease,Cardiovascular
PGS005296,Coronary artery disease,Cardiovascular
PGS005297,Coronary artery disease,Cardiovascular
PGS005298,Coronary artery disease,Cardiovascular
PGS000018,Coronary artery disease,Cardiovascular
PGS000013,Coronary artery disease,Cardiovascular
PGS000011,Coronary artery disease,Cardiovascular
PGS000747,Coronary artery disease,Cardiovascular
PGS004237,Coronary Artery Disease,Cardiovascular
PGS000329,Coronary heart disease,Cardiovascular
PGS001780,Coronary heart disease,Cardiovascular
PGS004698,Coronary heart disease,Cardiovascular
PGS004697,Coronary heart disease,Cardiovascular
PGS004696,Coronary heart disease,Cardiovascular
PGS000200,Coronary heart disease,Cardiovascular
PGS002272,COVID-19 infection,Other
PGS000967,Coxarthrosis [arthrosis of hip] (time-to-event),Metabolic & Endocrine
PGS004254,Crohn's disease,Metabolic & Endocrine
PGS001331,Crohn's disease,Metabolic & Endocrine
PGS001330,Crohn's disease [regional enteritis] (time-to-event),Metabolic & Endocrine
PGS001264,Deep vein thrombosis,Cardiovascular
PGS001265,Deep vein thrombosis (leg),Cardiovascular
PGS000945,Dementia in Alzheimer's disease (time-to-event),Neurological & Psychiatric
PGS000995,Dentures,Other
PGS001327,Diabetes,Metabolic & Endocrine
PGS001028,Diabetic eye disease,Ophthalmology
PGS001050,Diaphragmatic hernia (time-to-event),Metabolic & Endocrine
PGS004233,Diastolic blood pressure,Cardiovascular
PGS002239,Diastolic blood pressure,Cardiovascular
PGS004861,Dilated cardiomyopathy,Cardiovascular
PGS004862,Dilated cardiomyopathy (MTAG),Cardiovascular
PGS001318,Disorders of lipoprotein metabolism and other lipidaemias (time-to-event),Blood Panel
PGS001023,Disorders of mineral metabolism (time-to-event),Metabolic & Endocrine
PGS000924,Disorders of porphyrin and bilirubin metabolism (time-to-event),Blood Panel
PGS004614,Diverticular disease,Metabolic & Endocrine
PGS000996,Diverticular disease/diverticulitis,Metabolic & Endocrine
PGS000997,Diverticular disease of intestine (time-to-event),Metabolic & Endocrine
PGS001390,Duodenal ulcer (time-to-event),Metabolic & Endocrine
PGS001254,Dupuytren's contracture,Other
PGS000716,Early life body size,Metabolic & Endocrine
PGS001246,Ease of skin tanning (get very tanned),Other
PGS001247,"Ease of skin tanning (never tan, only burn)",Other
PGS001326,Emphysema,Respiratory
PGS000075,Endometrial cancer,Cancer
PGS000786,Endometrial cancer,Cancer
PGS001015,Enlarged prostate,Metabolic & Endocrine
PGS000324,Enthesitis-related Juvenile Idiophatic Arthritis,Immune & Autoimmune
PGS000005,ER-positive breast cancer,Cancer
PGS003388,Esophageal adenocarcinoma,Cancer
PGS003387,Esophageal adenocarcinoma or Barrett’s esophagus,Cancer
PGS000958,Essential hypertension,Cardiovascular
PGS000957,Essential (primary hypertension) (time-to-event),Cardiovascular
PGS000883,Estimated glomerular filtration rate,Blood Panel
PGS001182,Estradiol [> 212 pmol/L],Blood Panel
PGS001321,Eye problems/disorders (Glaucoma),Ophthalmology
PGS001141,Facial ageing (looking younger than you are),Other
PGS001072,"Facial aging, looking 'older than you are'",Other
PGS001801,FEV1/FVC ratio,Respiratory
PGS001153,Folic acid or folate (Vitamin B9),Blood Panel
PGS001800,Forced expiratory volume (FEV1),Respiratory
PGS001026,Forearm or wrist fracture,Metabolic & Endocrine
PGS001256,Gallstones,Metabolic & Endocrine
PGS000137,Glaucoma,Ophthalmology
PGS001322,Glaucoma,Ophthalmology
PGS001323,Glaucoma (time-to-event),Ophthalmology
PGS003384,Glioblastoma,Cancer
PGS001044,Glucosamine intake,Other
PGS001192,Gonarthrosis [arthrosis of knee] (time-to-event),Metabolic & Endocrine
PGS001248,Gout,Metabolic & Endocrine
PGS004076,Gout,Metabolic & Endocrine
PGS001789,Gout,Metabolic & Endocrine
PGS004090,Gout,Metabolic & Endocrine
PGS004265,Gout,Metabolic & Endocrine
PGS004266,Gout,Metabolic & Endocrine
PGS004267,Gout,Metabolic & Endocrine
PGS004268,Gout,Metabolic & Endocrine
PGS004006,Gout,Metabolic & Endocrine
PGS000199,Gout,Metabolic & Endocrine
PGS004060,Gout,Metabolic & Endocrine
PGS004269,Gout,Metabolic & Endocrine
PGS004047,Gout,Metabolic & Endocrine
PGS004160,Gout,Metabolic & Endocrine
PGS000711,Gout,Metabolic & Endocrine
PGS004032,Gout,Metabolic & Endocrine
PGS004018,Gout,Metabolic & Endocrine
PGS003990,Gout,Metabolic & Endocrine
PGS004931,Gout,Metabolic & Endocrine
PGS001249,Gout (time-to-event),Metabolic & Endocrine
PGS005265,Graves' disease,Immune & Autoimmune
PGS005266,Graves' disease,Immune & Autoimmune
PGS005264,Graves' disease,Immune & Autoimmune
PGS001092,"Hair color, black",Other
PGS001093,"Hair color, blonde",Other
PGS001094,"Hair color, brown",Other
PGS001095,"Hair color, dark brown",Other
PGS001096,"Hair color, light brown",Other
PGS001097,"Hair color, other",Other
PGS001098,"Hair color, red",Other
PGS003390,Head and neck squamous cell carcinoma,Cancer
PGS005097,Heart failure,Cardiovascular
PGS001790,Heart failure,Cardiovascular
PGS000657,Heel quantitative ultrasound speed of sound (SOS),Metabolic & Endocrine
PGS001136,"Hematologic disease, genetic",Other
PGS000865,Hepatic fat content,Blood Panel
PGS000939,Hiatus hernia,Metabolic & Endocrine
PGS000936,High cholesterol,Blood Panel
PGS002728,Hip osteoarthritis,Metabolic & Endocrine
PGS001338,Hyperplasia of prostate (time-to-event),Other
PGS004191,Hypertension,Cardiovascular
PGS004934,Hypertension,Cardiovascular
PGS004192,Hypertension,Cardiovascular
PGS004193,Hypertension,Cardiovascular
PGS004194,Hypertension,Cardiovascular
PGS004195,Hypertension,Cardiovascular
PGS001320,Hypertension,Cardiovascular
PGS004234,Hypertension,Cardiovascular
PGS004236,Hypertension,Cardiovascular
PGS001043,"Hyperthyroidism, thyrotoxicosis",Metabolic & Endocrine
PGS004910,Hypertrophic cardiomyopathy,Cardiovascular
PGS000739,Hypertrophic cardiomyopathy,Cardiovascular
PGS004911,Hypertrophic cardiomyopathy (MTAG),Cardiovascular
PGS004935,Hypothyroidism,Metabolic & Endocrine
PGS005218,Hypothyroidism,Metabolic & Endocrine
PGS000965,Hypothyroidism/myxoedema,Metabolic & Endocrine
PGS001791,Idiopathic pulmonary fibrosis,Respiratory
PGS002780,Incident type 2 diabetes,Metabolic & Endocrine
PGS000017,Inflammatory bowel disease,Metabolic & Endocrine
PGS001288,Inflammatory bowel disease,Metabolic & Endocrine
PGS003981,Inflammatory bowel disease (IBD),Metabolic & Endocrine
PGS003997,Inflammatory bowel disease (IBD),Metabolic & Endocrine
PGS004151,Inflammatory bowel disease (IBD),Metabolic & Endocrine
PGS004051,Inflammatory bowel disease (IBD),Metabolic & Endocrine
PGS004067,Inflammatory bowel disease (IBD),Metabolic & Endocrine
PGS004135,Inflammatory bowel disease (IBD),Metabolic & Endocrine
PGS004081,Inflammatory bowel disease (IBD),Metabolic & Endocrine
PGS004013,Inflammatory bowel disease (IBD),Metabolic & Endocrine
PGS004023,Inflammatory bowel disease (IBD),Metabolic & Endocrine
PGS004097,Inflammatory bowel disease (IBD),Metabolic & Endocrine
PGS004038,Inflammatory bowel disease (IBD),Metabolic & Endocrine
PGS000948,Inguinal hernia,Metabolic & Endocrine
PGS000949,Inguinal hernia (time-to-event),Metabolic & Endocrine
PGS001296,Insulin-dependent diabetes mellitus (time-to-event),Metabolic & Endocrine
PGS000940,Intestinal malabsorption (time-to-event),Metabolic & Endocrine
PGS000941,Iridocyclitis (time-to-event),Immune & Autoimmune
PGS000966,Iritis,Immune & Autoimmune
PGS002725,Ischemic stroke,Cardiovascular
PGS000039,Ischemic stroke,Cardiovascular
PGS000114,Juvenile Idiopathic Arthritis,Immune & Autoimmune
PGS002292,Keratoconus,Ophthalmology
PGS000076,Kidney cancer,Cancer
PGS000787,Kidney cancer,Cancer
PGS004908,Kidney cancer,Cancer
PGS002729,Knee osteoarthritis,Metabolic & Endocrine
PGS000875,LDL cholesterol,Blood Panel
PGS003405,LDL cholesterol,Blood Panel
PGS003393,Lung adenocarcinoma,Cancer
PGS000392,Lung and bronchus cancer,Cancer
PGS000391,Lung and bronchus cancer,Cancer
PGS002270,Lung cancer,Cancer
PGS000070,Lung cancer,Cancer
PGS003391,Lung cancer,Cancer
PGS000789,Lung cancer,Cancer
PGS000740,Lung cancer,Cancer
PGS000721,Lung cancer,Cancer
PGS000156,Lung cancer,Cancer
PGS004860,Lung cancer,Cancer
PGS000078,Lung cancer,Cancer
PGS003392,Lung squamous cell carcinoma,Cancer
PGS000077,Lymphocytic leukemia,Cancer
PGS000788,Lymphocytic leukemia,Cancer
PGS001013,Macular degeneration,Ophthalmology
PGS001301,Malabsorption/coeliac disease,Metabolic & Endocrine
PGS001111,Male genital tract cancer,Cancer
PGS000602,Malignant neoplasm of testis,Cancer
PGS000604,Malignant neoplasm of testis,Cancer
PGS000813,Melanoma,Cancer
PGS000743,Melanoma,Cancer
PGS002247,Melanoma,Cancer
PGS002246,Melanoma,Cancer
PGS002253,Melanoma,Cancer
PGS001304,Melanoma (malignant),Cancer
PGS001281,Migraine,Neurological & Psychiatric
PGS001282,Migraine (time-to-event),Neurological & Psychiatric
PGS002271,Mitral valve prolapse,Cardiovascular
PGS000809,Multiple sclerosis,Neurological & Psychiatric
PGS004700,Multiple sclerosis,Neurological & Psychiatric
PGS001270,Multiple sclerosis,Neurological & Psychiatric
PGS004699,Multiple sclerosis,Neurological & Psychiatric
PGS002726,Multiple sclerosis,Neurological & Psychiatric
PGS001271,Multiple sclerosis (time-to-event),Neurological & Psychiatric
PGS001315,Myocardial infarction,Cardiovascular
PGS001316,Myocardial infarction (algorithmically-defined),Cardiovascular
PGS000757,Narcolepsy,Neurological & Psychiatric
PGS000756,Narcolepsy,Neurological & Psychiatric
PGS000934,Nasal polyps,Respiratory
PGS000933,Nasal polyp (time-to-event),Respiratory
PGS002291,Nasopharyngeal carcinoma,Cancer
PGS001127,Never Smoker,Neurological & Psychiatric
PGS000872,Non-alcoholic fatty liver disease,Metabolic & Endocrine
PGS000080,Non-Hodgkin's lymphoma,Cancer
PGS000791,Non-Hodgkin's lymphoma,Cancer
PGS001294,Non-insulin-dependent diabetes (time-to-event),Metabolic & Endocrine
PGS001040,Non melanoma skin cancer,Cancer
PGS001025,Nonrheumatic aortic valve disorders (time-to-event),Cardiovascular
PGS002266,Nonsyndromic cleft lip with or without cleft palate,Other
PGS001048,NSTEMI (algorithmically-defined),Cardiovascular
PGS003857,Obstructive sleep apnea,Neurological & Psychiatric
PGS005219,Obstructive sleep apnea (AdjustedBMI),Neurological & Psychiatric
PGS003858,Obstructive sleep apnea (BMI adjusted),Neurological & Psychiatric
PGS005220,Obstructive sleep apnea (UnadjustedBMI),Neurological & Psychiatric
PGS000325,Oligoarthritis Juvenile Idiophatic Arthritis,Immune & Autoimmune
PGS000081,Oral cavity and pharyngeal cancers,Cancer
PGS000792,Oral cavity and pharyngeal cancers,Cancer
PGS001290,Osteoarthritis,Metabolic & Endocrine
PGS001273,Osteoporosis,Metabolic & Endocrine
PGS001274,Osteoporosis without pathological fracture (time-to-event),Metabolic & Endocrine
PGS001303,Other cataract (time-to-event),Ophthalmology
PGS001334,Other chronic obstructive pulmonary disease (time-to-event),Respiratory
PGS001033,Other coagulation defects (time-to-event),Cardiovascular
PGS001516,Other diseases of intestine (time-to-event),Metabolic & Endocrine
PGS001293,Other diseases of liver (time-to-event),Metabolic & Endocrine
PGS001029,Other disorders of cornea (time-to-event),Ophthalmology
PGS001014,Other disorders of pancreatic internal secretion (time-to-event),Metabolic & Endocrine
PGS001181,Other hypothyroidism (time-to-event),Metabolic & Endocrine
PGS001251,Other interstitial pulmonary diseases (time-to-event),Respiratory
PGS000932,Other intervertebral disk disorders (time-to-event),Other
PGS001319,Other metabolic disorders (time-to-event),Metabolic & Endocrine
PGS000928,Other non-toxic goitre (time-to-event),Metabolic & Endocrine
PGS001275,Other retinal disorders (time-to-event),Ophthalmology
PGS001309,Other rheumatoid arthritis (time-to-event),Immune & Autoimmune
PGS000960,Other systemic involvement of connective tissue (time-to-event),Immune & Autoimmune
PGS001255,Otosclerosis (time-to-event),Other
PGS000793,Ovarian cancer,Cancer
PGS000082,Ovarian cancer,Cancer
PGS003385,Ovarian serous carcinoma,Cancer
PGS000794,Pancreatic cancer,Cancer
PGS000083,Pancreatic cancer,Cancer
PGS002264,Pancreatic ductal adenocarcinoma,Cancer
PGS001115,Paracetamol use self-reported,Other
PGS001046,Past tobacco smoking (Smoked at least once),Neurological & Psychiatric
